house_name,is_available,deposit,max_price,min_price,currency,price_duration,district,locality,route,postal_code,street_number,total_features,features,max_area,min_area,area_unit,owner_emails,owner_phones,url
Alumno Falmer,False,99,354,219,pound,weekly,Brighton and Hove,Brighton,Station Approach,BN1 9SD,10,4,On Site Maintenance/laundry_facility/bills_included/not_available,None,None,sqft,salesenquiries@wearehomesforstudents.com/alumnofalmer@wearehomesforstudents.com/STLbookings@wearehomesforstudents.com,+4401273033442,https://amberstudent.com/places/alumno-falmer-2104025873058
"Drapery Place, London",False,250,476,289,pound,weekly,Greater London,London,Leman Street,E1 8EU,65,4,Common Areas/Flexible Tenancy/bills_included/not_available,28,14,sqft,InternationalBooking2@unitestudents.com,+440300 303 8642,https://amberstudent.com/places/drapery-place-london-2002141869314
Mile End Canalside-Go Britanya,False,260,430,300,pound,weekly,Greater London,London,Bradwell Street,E1 4GP,24,4,On Site GYM/Gaming Area/bills_included/not_available,14,13,sqft,book@gobritanya.com/emily@gobritanya.com,+44 20 7831 8247/+44 7799 315236,https://amberstudent.com/places/mile-end-canalside-go-britanya-2009031151312
IQ Brighton,False,200,375,213,pound,weekly,Brighton and Hove,Brighton,The Furlong,BN2 4FR,7,4,laundry_facility/gym/bills_included/not_available,39,13,sqft,Brighton@iqstudentaccommodation.com,+4401273956554,https://amberstudent.com/places/iq-brighton-2010061070990
"St Pancras Way, London",False,250,409,260,pound,weekly,Greater London,London,Camley Street,N1C 4BN,103,4,laundry_facility/study_area/bills_included/not_available,25,13,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/st-pancras-way-london-1710112342618
Kaplan Living Brighton,False,250,330,205,pound,weekly,Brighton and Hove,Brighton,Circus Street,BN2 9AS,None,4,laundry_facility/game_room/bills_included/not_available,17,13,sqft,LivingBrighton@kaplan.com/Jamie.Brookes@kaplan.com,+44 (0)127 305 9088,https://amberstudent.com/places/kaplan-living-brighton-2011105136273
"Student Living Heights, London",False,250,336,276,pound,weekly,Greater London,London,Goswell Road,EC1V 7AF,312,4,laundry_facility/study_area/bills_included/not_available,28,13,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399/+442039298908,https://amberstudent.com/places/student-living-heights-london-1710109418732
"Urbanest Hoxton, London",False,None,474,284,pound,weekly,Greater London,London,East Road,N1 6AA,100,4,Gym & Exercise Room/Gaming Area/bills_included/not_available,26,12,sqft,ivana.sanguesa@urbanest-uk.intercom-mail.com,+44 20 7042 7890,https://amberstudent.com/places/urbanest-hoxton-london-1608304135534
"Hayloft Point, London",False,250,393,299,pound,weekly,Greater London,London,Middlesex Street,E1 7ED,16,4,bills_included/gym/game_room/not_available,None,None,sqft,Internationalbooking2@unitestudents.com,+440300 303 8642,https://amberstudent.com/places/hayloft-point-london-2111193670242
Vega,False,100,490,290,pound,weekly,Greater London,London,Miles Street,SW8 1RZ,6,4,cinema/bills_included/laundry_facility/not_available,30,9,sqft,info@downingstudents.com/vega@downingstudents.com,+44 151 707 2666/+44 204 537 9191,https://amberstudent.com/places/vega-2101138507106
The Hive,False,300,345,307,pound,weekly,Greater London,London,Three Colts Lane,E2 6FJ,65,4,Pool Table/laundry_facility/bills_included/not_available,22,19,sqft,thehive@host-students.com,+4420 3551 2550,https://amberstudent.com/places/the-hive-1608308200159
"East Central House, London",False,250,349,289,pound,weekly,Greater London,London,Lever Street,EC1V 3RH,115,4,bills_included/bike storage/Common area/not_available,25,12,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/east-central-house-london-1710100016395
Hillfort House,False,250,385,229,pound,weekly,Brighton and Hove,Brighton,Moulsecoomb Way,BN2 4PB,None,4,best_value/bills_included/safety and security/not_available,None,None,sqft,hillfort.house@studentroost.co.uk,+44 1225 541085/+441273 003 710,https://amberstudent.com/places/hillfort-house-2111304003664
"IQ Hoxton, London",False,250,470,299,pound,weekly,Greater London,London,Kingsland Road,E2 8FN,67,3,laundry_facility/study area/not_available,23,15,sqft,hoxton@iqstudentaccommodation.com,+44 020 7952 2691,https://amberstudent.com/places/iq-hoxton-london-1811170520327
Londonist Mile End Canalside Residence,False,250,335,325,pound,weekly,Greater London,London,Bradwell Street,E1 4GP,25,3,laundry_facility/gym/not_available,None,None,sqft,book@londonist.co.uk,+44 20 7287 1912,https://amberstudent.com/places/londonist-mile-end-canalside-residence-2207166126223
Host View Studios,False,300,425,325,pound,weekly,Greater London,London,Spa Road,SE1,11-13,4,laundry_facility/study_area/game_area/not_available,33,15,sqft,viewstudios@host-students.com,+44 (0)20 7183 7680,https://amberstudent.com/places/host-view-studios-2111303227354
"Moonraker Point, London",False,250,389,310,pound,weekly,Greater London,London,Pocock Street,SE1 0FN,None,4,Vending machine/Bike storage/laundry_facility/not_available,None,None,sqft,InternationalBooking2@unitestudents.com,+44 203 9298 908,https://amberstudent.com/places/moonraker-point-london-1710250639933
"IQ East Court, Mile End",False,250,537,332,pound,weekly,Greater London,London,Mile End Road,E1 4PB,450,4,gym/laundry_facility/bills_included/not_available,25,13,sqft,eastcourt@iqstudentaccommodation.com,+4402045041623,https://amberstudent.com/places/iq-east-court-mile-end-2010057445017
Bull Inn Court,True,250,None,None,pound,weekly,Greater London,London,Bull Inn Court,None,14,4,Internet/Air Conditioning/bills_included/Private elevator access,None,None,sqft,josh@studentluxe.co.uk,+442034188181,https://amberstudent.com/places/bull-inn-court-1912063755522
Bedford Court,True,250,None,None,pound,weekly,Greater London,London,Bedford Court,WC2E 9LU,9,4,Internet/Air Conditioning/bills_included/Private elevator access,None,None,sqft,josh@studentluxe.co.uk,+442034188181,https://amberstudent.com/places/bedford-court-1912064598620
"IQ Abacus House, Brighton",False,200,355,230,pound,weekly,Brighton and Hove,Brighton,Baker Street,BN1 4JN,6-11,4,laundry_facility/study_area/bills_included/not_available,25,13,sqft,abacushouse@iqstudentaccommodation.com,+4401273 956 940,https://amberstudent.com/places/iq-abacus-house-brighton-1811230495138
"IQ Magenta House, London",False,250,396,339,pound,weekly,Greater London,London,Tyrian Place,E1 1DQ,5,4,gym/laundry_facility/bills_included/not_available,24,13,sqft,magentahouse@iqstudentaccommodation.com,+440208 634 5560,https://amberstudent.com/places/iq-magenta-house-london-1608304026309
"Spitalfields Residence-Go Britanya, London",False,260,510,335,pound,weekly,Greater London,London,Frying Pan Alley,E1 7HS,9,4,On Site GYM/Laundry Room/bills_included/not_available,17,10,sqft,book@gobritanya.com/emily@gobritanya.com,44 (0) 20 3585 1486/44(0)2078318247,https://amberstudent.com/places/spitalfields-residence-go-britanya-london-2009032272619
"IQ Will Wyatt Court, London",False,175,340,328,pound,weekly,Greater London,London,Pitfield Street,N1 6JH,168,4,Outdoor Courtyard/laundry_facility/bills_included/not_available,None,None,sqft,willwyattcourt@iqstudentaccommodation.com/Caylem.Urssher@iqstudent.com,+44 (0) 20 7739 5103,https://amberstudent.com/places/iq-will-wyatt-court-london-1911148077432
"IQ City, London",False,200,535,329,pound,weekly,Greater London,London,Bastwick Street,EC1V 3AQ,11,4,24/7 security/City centre location/bills_included/not_available,33,12,sqft,city@iqstudentaccommodation.com,+440208 912 5040,https://amberstudent.com/places/iq-city-london-1811192172260
"Vogue Studios, Brighton",False,88,255,250,pound,weekly,Brighton and Hove,Brighton,Lewes Road,BN2 3QA,106,4,No Visa/University No Pay/COVID-19 Cancellation Policy/bills_included/not_available,20,17,sqft,voguestudios@apartostudent.com,+4401273956128,https://amberstudent.com/places/vogue-studios-brighton-1905036920321
Islington Residence-Go Britanya,False,260,420,310,pound,weekly,Greater London,London,Market Road,N7 9AW,32-34,4,Onsite GYM/Laundry/bills_included/not_available,19,12,sqft,book@gobritanya.com/emily@gobritanya.com,+44 20 7831 8247/+44 7799 315236,https://amberstudent.com/places/islington-residence-go-britanya-2009027357830
Pavilion Point,False,150,335,245,pound,weekly,Brighton and Hove,Brighton,London Road,BN1 4JH,132,4,game_room/bills_included/gym/not_available,39,15,sqft,pavilionpoint@thisisfresh.com,+44 01273 074966,https://amberstudent.com/places/pavilion-point-2012029430961
"Hayloft Point, London Nest",False,250,368,349,pound,weekly,Greater London,London,Middlesex Street,E1 7JH,22,4,Cinema Room/gym/Outdoor Social Space/not_available,None,None,sqft,nfo@londonnest.com,+44 20 7697 0009,https://amberstudent.com/places/hayloft-point-london-nest-2206141257035
"The Stoneworks, Brighton",False,88,255,252,pound,weekly,Brighton and Hove,Brighton,Gladstone Place,BN2 3DL,1A,4,COVID-19 Cancellation Policy/Flexible Tenancy/bills_included/not_available,None,None,sqft,stoneworks@apartostudent.com,+4401273956619,https://amberstudent.com/places/the-stoneworks-brighton-1905029517340
The Stay Club Kentish Town,False,None,553,303,pound,weekly,Greater London,London,Holmes Road,NW5 3AN,65-69,4,gym/laundry_facility/cinema/not_available,None,None,sqft,info@thestayclub.com,+4402072677774/+44 7513798803,https://amberstudent.com/places/the-stay-club-kentish-town-2111262185704
Student Castle Brighton,False,150,460,262,pound,weekly,Brighton and Hove,Brighton,Pelham Terrace,BN2 4GS,4,4,Courtyard/Free Bike Hire/bills_included/not_available,43,19,sqft,byatt@studentcastle.co.uk/brighton@studentcastle.co.uk,+440333 344 4908,https://amberstudent.com/places/student-castle-brighton-2003178882554
Aldgate Residence-Go Britanya,False,None,505,370,pound,weekly,Greater London,London,Commercial Road,E1 1FA,1-2,4,On Site GYM/Laundry/bills_included/not_available,19,16,sqft,book@gobritanya.com/emily@gobritanya.com,+44 20 7831 8247/+44 7799 315236/+44 7377 388666,https://amberstudent.com/places/aldgate-residence-go-britanya-2008218676075
"Elizabeth Croll House, London",False,250,459,339,pound,weekly,Greater London,London,Penton Rise,WC1X 9AX,27,4,study_area/laundry_facility/bills_included/not_available,33,15,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/elizabeth-croll-house-london-1710101871177
"Wellington Lodge, London",False,250,419,359,pound,weekly,Greater London,London,Waterloo Road,SE1 8RQ,268-282,4,Bike Storage/study_area/bills_included/not_available,25,12,sqft,InternationalBooking2@unitestudents.com,+440300 303 8642,https://amberstudent.com/places/wellington-lodge-london-1710117401829
"IQ Sawmills, Brighton",False,200,343,268,pound,weekly,Brighton and Hove,Brighton,Newmarket Road,BN2 3QF,2-4,4,Social Spaces/bills_included/laundry_facility/not_available,18,12,sqft,sawmills@iqstudentaccommodation.com,+44 0 1273 956 395,https://amberstudent.com/places/iq-sawmills-brighton-1811231442776
"Londonist Students Vega Residence, London",False,250,None,None,pound,weekly,Greater London,London,Miles Street,SW8 1RZ,6,4,gym/study_area/cinema/not_available,None,None,sqft,book@londonist.co.uk,+44 20 7287 1912,https://amberstudent.com/places/londonist-students-vega-residence-london-2209013253508
Victoria Hall King's Cross,False,400,580,350,pound,weekly,Greater London,London,Canal Reach,N1C 4BE,25,4,COVID 19 Cancellation Policy/game_room/laundry_facility/not_available,40,17,sqft,kingscross@host-students.com,+44203 475 5970,https://amberstudent.com/places/victoria-hall-king-s-cross-1608303976550
"Somerset Court, London",False,250,579,350,pound,weekly,Greater London,London,Aldenham Street,NW1 1AS,None,4,laundry_facility/bills_included/Bike storage/not_available,32,12,sqft,InternationalBooking2@unitestudents.com,+44 117 302 7399,https://amberstudent.com/places/somerset-court-london-1710105069958
"Kirby Street, London",False,None,595,380,pound,weekly,Greater London,London,Kirby Street,EC1N,None,4,No Visa No Pay/Covid-19 Cancellation Policy/bills_included/not_available,None,None,sqft,enquiry@ascommunity.com,(+44) 0207 242 5720,https://amberstudent.com/places/kirby-street-london-2010017411421
"Brighton Residence, Brighton and Hove",False,260,355,295,pound,weekly,Brighton and Hove,Brighton,Lewes Road,BN2 4FR,None,4,laundry_facility/gym/bills_included/not_available,None,None,sqft,book@gobritanya.com/emily@gobritanya.com,+44 (0) 2039898729/44(0)2078318247,https://amberstudent.com/places/brighton-residence-brighton-and-hove-2104024398403
Shoreditch Residence-Go Britanya,False,260,495,400,pound,weekly,Greater London,London,Brunswick Place,N1 6DX,45,4,On Site GYM/Laundry Room/bills_included/not_available,None,None,sqft,book@gobritanya.com/emily@gobritanya.com,44 (0) 20 3585 1486/44(0)2078318247,https://amberstudent.com/places/shoreditch-residence-go-britanya-2009037974634
"London Stratford,London",False,100,None,None,pound,weekly,Greater London,London,West Ham Lane,E15 4PT,66,4,laundry_facility/gym/bills_included/not_available,None,None,sqft,info@iconinc.co.uk,44 (0)330 111 5200,https://amberstudent.com/places/london-stratford-london-2007316215161
"Old Street Residence, London",False,260,525,415,pound,weekly,Greater London,London,Paul Street,EC2A 4JH,18,4,gym/study_area/laundry_facility/not_available,None,None,sqft,book@gobritanya.com/emily@gobritanya.com,+44 (0) 2039898729/+44(0)2078318247,https://amberstudent.com/places/old-street-residence-london-2205287379970
"Londonist Dashwood Studios, London",False,250,519,440,pound,weekly,Greater London,London,Walworth Road,SE17 1JL,120-138,4,study_area/cinema/game_room/not_available,None,None,sqft,book@londonist.co.uk,+44 20 7287 1912,https://amberstudent.com/places/londonist-dashwood-studios-london-2209017395654
Kirby Street,False,260,795,435,pound,weekly,Greater London,London,Kirby Street,EC1N 8TE,36-43,4,Gaming Area/Laundry Room/bills_included/not_available,38,20,sqft,book@gobritanya.com/emily@gobritanya.com,44 (0) 20 3585 1486/44(0)2078318247,https://amberstudent.com/places/kirby-street-2009026790029
"AXO Oxford Circus, London",False,250,555,455,pound,weekly,Greater London,London,Devonshire Street,W1W 5DB,2,4,On site Maintenance/laundry_facility/bills_included/not_available,27,18,sqft,info@axostudent.co.uk,442033 071974,https://amberstudent.com/places/axo-oxford-circus-london-1709156600823
"Kings Cross Residence-Go Britanya, London",False,260,620,475,pound,weekly,Greater London,London,Pentonville Road,N1 9JY,200,4,On Site GYM/bills_included/laundry_facility/not_available,17,16,sqft,book@gobritanya.com/emily@gobritanya.com,+44 20 7831 8247/+44 7799 315236,https://amberstudent.com/places/kings-cross-residence-go-britanya-london-2009022949327
"Mortimer Road, London",False,None,None,None,pound,weekly,Greater London,London,Mortimer Road,N1 4JY,None,4,Stunning house with garden/bills_included/Nespresso refills/not_available,None,None,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/mortimer-road-london-2112225839814
Londonist Wembley Residence,True,250,307,225,pound,weekly,Greater London,Wembley,North End Road,HA9 0UU,577,2,gym/laundry_facility,None,None,sqft,book@londonist.co.uk,+44 20 7287 1912,https://amberstudent.com/places/londonist-wembley-residence-2207161741013
"IQ Highbury, London",True,200,378,263,pound,weekly,Greater London,London,Isledon Road,N7 7JR,201,4,new/study_area/laundry_facility/bills_included,23,12,sqft,Joanna.Wolf@iqstudent.com/highbury@iqstudentaccommodation.com,+44 0208 912 5010,https://amberstudent.com/places/iq-highbury-london-1811163333778
"Londonist Highbury Residence, London",True,250,415,290,pound,weekly,Greater London,London,Holloway Road,N7 9DS,309,3,Laundry/gym/bills_included,21,13,sqft,sales@londonist.co.uk,+44 20 7287 1912,https://amberstudent.com/places/londonist-highbury-residence-london-2003137827393
"Londonist The Curve, London",True,250,450,365,pound,weekly,Greater London,London,Fieldgate Street,E1 1FP,14,3,Wheelchair Access/laundry_facility/gym,17,11,sqft,book@londonist.co.uk,+44 20 7287 1912,https://amberstudent.com/places/londonist-the-curve-london-2208105176012
"Londonist Finsbury House, London",True,250,419,309,pound,weekly,Greater London,London,Green Lanes,N4 2ES,323,3,Laundry/WiFi/bills_included,26,10,sqft,sales@londonist.co.uk,+44 20 7287 1912,https://amberstudent.com/places/londonist-finsbury-house-london-2003139228332
"Londonist Highbury II Residence, London",True,250,470,395,pound,weekly,Greater London,London,Holloway Road,N7 8HS,295,3,Laundry/gym/bills_included,22,16,sqft,sales@londonist.co.uk,+44 20 7287 1912,https://amberstudent.com/places/londonist-highbury-ii-residence-london-2003133250660
"Londonist Shoreditch, London",True,250,467,460,pound,weekly,Greater London,London,Brunswick Place,N1 6DX,45,3,gym/laundry_facility/study_area,None,None,sqft,book@londonist.co.uk,+44 20 7287 1912,https://amberstudent.com/places/londonist-shoreditch-london-2209015747508
"Arbury Court, Kingston",False,88,274,197,pound,weekly,Greater London,New Malden,Kingston Road,KT3 3SS,173,4,No Visa/University No Pay/COVID-19 Cancellation Policy/bills_included/not_available,26,21,sqft,arburycourt@apartostudent.com,+442089124452,https://amberstudent.com/places/arbury-court-kingston-1709162197910
"Regents Park, London",True,None,1435,770,pound,weekly,Greater London,London,Albany Street,NW1,None,4,Gym/Bar/Restaurant/Room Service,40,19,sqft,hello@studentluxe.co.uk,+442030070017,https://amberstudent.com/places/regents-park-london-2112204378750
"IQ Tufnell House, London",True,200,487,304,pound,weekly,Greater London,London,Huddleston Road,N7 0EG,144,4,laundry_facility/gym/bills_included/game_room,25,11,sqft,tufnellhouse@iqstudentaccommodation.com,+44 0203 595 3254,https://amberstudent.com/places/iq-tufnell-house-london-1811160503086
Holloway Road,True,None,1624,825,pound,weekly,Greater London,London,Holloway Road,N19 4BY,525,4,Communal garden/office space/laundry_facility/bills_included,40,35,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/holloway-road-2112234950987
Vauxhall Bridge Rd ,True,None,3196,1471,pound,weekly,Greater London,London,Vauxhall Bridge Road,SW1,None,3,laundry_facility/bills_included/Weekly housekeeping,114,42,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/vauxhall-bridge-rd-2112216562855
Berwick Street,True,None,2102,1301,pound,weekly,Greater London,London,Berwick Street,W1F 8SX,61,3,Weekly housekeeping/laundry_facility/bills_included,76,32,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/berwick-street-2112227890783
Gerrard Place,True,None,None,None,pound,weekly,Greater London,London,Gerrard Place,W1D 5PB,2,3,laundry_facility/bills_included/Weekly housekeeping,None,None,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/gerrard-place-2112228327284
"Malden Hall, London",False,99,269,189,pound,weekly,Greater London,New Malden,Burlington Road,KT3 4NN,240,4,On-Site Laundry/Bike Store/bills_included/not_available,None,None,sqft,salesenquiries@universalstudentliving.com/pressenquiries@wearehomesforstudents.com,+440371 705 2924/+440333 242 9520,https://amberstudent.com/places/malden-hall-london-1712227599031
Great Titchfield,True,None,2100,1400,pound,weekly,Greater London,London,Great Titchfield Street,W1W,None,3,"Indoor ""Zen garden"" space/bills_included/laundry_facility",50,40,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/great-titchfield-2112213684360
"Soho Lofts, London",True,None,None,None,pound,weekly,Greater London,London,Bourchier Street,W1D 4JQ,11,3,Cool room layout/laundry_facility/bills_included,None,None,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/soho-lofts-london-2112219907618
"Hope House, London",True,None,3781,1640,pound,weekly,Greater London,London,Great Peter Street,SW1P 3LT,45,3,Elevator access/laundry_facility/bills_included,None,None,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/hope-house-london-2112209697648
"Cambric Apartments, London",True,None,2310,1132,pound,weekly,Greater London,London,North Tenter Street,E1 8DN,2,3,Additional sofa bed/Washer & Dryers/Flexible stays,None,None,sqft,HELLO@STUDENTLUXE.CO.UK,+44 7790 664737,https://amberstudent.com/places/cambric-apartments-london-2112234559792
"Adelaide Road, London",True,None,None,None,pound,weekly,Greater London,London,Fellows Road,NW3 3LY,None,3,laundry_facility/bills_included/Weekly housekeeping,None,None,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/adelaide-road-london-2112227845290
"Student Luxe Kings Mews II, London",True,None,3100,1395,pound,weekly,Greater London,London,King's Mews,WC1N,10,2,Large Roof Terrace/Climate control,119,80,sqft,HELLO@STUDENTLUXE.CO.UK,+44 7790 664737,https://amberstudent.com/places/student-luxe-kings-mews-ii-london-2102197243941
Student Luxe Kings Mews I,True,None,2975,1395,pound,weekly,Greater London,London,King's Mews,WC1N 2JB,20-21,3,Climate control/Underfloor heating/Nespresso machine,86,52,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/student-luxe-kings-mews-i-2205160277103
"Malden Road, London",True,None,None,None,pound,weekly,Greater London,London,None,None,None,4,Cosy snug room/outdoor terrace/bills_included/laundry_facility,None,None,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/malden-road-london-2112224920766
"Stukeley Street, London",True,None,1875,1645,pound,weekly,Greater London,London,Stukeley Street,WC2B 5LR,18,3,Nespresso machine with refills/laundry_facility/Duplex,64,49,sqft,josh@studentluxe.co.uk/hello@studentluxe.co.uk,+442034188181/+44 (0)20 3971 7307,https://amberstudent.com/places/stukeley-street-london-2202246043621
The Stay Club Camden,True,858,550,304,pound,weekly,Greater London,London,Chalk Farm Road,NW1 8AJ,34,3,Cafe/Games Room/bike storage,None,None,sqft,info@thestayclub.com,+4402072677774/+44 7513798803,https://amberstudent.com/places/the-stay-club-camden-1709115141970
King Street,True,None,None,None,pound,weekly,Greater London,London,King Street,WC2E 8JS,12,4,Five star location/bills_included/laundry_facility/guest bathroom,None,None,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/king-street-2112213509488
London Bridge ,True,None,None,None,pound,weekly,Greater London,London,White Hart Yard,SE1 1NX,2,3,Opposite Borough Market/laundry_facility/bills_included,None,None,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/london-bridge-2112228069410
Chancery Lane,True,None,5250,1800,pound,weekly,Greater London,London,Chancery Lane,WC2A 1PU,None,3,Lift Access/bills_included/Air conditioning,121,40,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/chancery-lane-2112222700108
"Great Eastern St, London",True,None,2150,1950,pound,weekly,Greater London,London,Great Eastern Street,None,None,3,Weekly housekeeping/laundry_facility/bills_included,100,70,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/great-eastern-st-london-2112237639049
"IQ Shoreditch, London",True,250,616,450,pound,weekly,Greater London,London,East Road,N1 6AT,2,4,gym/laundry_facility/bills_included/cinema,40,9,sqft,shoreditch@iqstudent.com/hello@iqstudentaccommodation.com,+44  020 3582 4505/tel:+442079522180,https://amberstudent.com/places/iq-shoreditch-london-1811179150260
Lincoln’s Inn,True,None,4200,3465,pound,weekly,Greater London,London,Lincoln's Inn Fields,WC2A 3JX,64,4,Outdoor Patio/Bedroom Patio + Atrium/Private Lift Access/bills_included,149,116,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/lincoln-s-inn-2112221279562
"Bowden Court, London",False,None,289,108,pound,weekly,Greater London,London,Ladbroke Road,W11 3NN,24,4,laundry_facility/study_area/gym/not_available,None,None,sqft,jjurika@lhalondon.com/bookings@lhalondon.com,+44 79 7680 3941/+44 (0)20 3911 5642,https://amberstudent.com/places/bowden-court-london-1608304776714
Halpin House,False,None,208,118,pound,weekly,Greater London,London,Queen's Gate,SW7 5AB,97,4,Laundry Facilities/bills_included/gym/not_available,None,None,sqft,jjurika@lhalondon.com/bookings@lhalondon.com,+44 79 7680 3941/+44 (0)20 3911 5645,https://amberstudent.com/places/halpin-house-1706017339804
Leinster House,False,None,201,105,pound,weekly,Greater London,London,Leinster Terrace,W2 3AT,44-46,4,bills_included/laundry_facility/cctv/not_available,None,None,sqft,jjurika@lhalondon.com/bookings@lhalondon.com,+44 79 7680 3941/+44 (0)20 3911 5647,https://amberstudent.com/places/leinster-house-1706022163140
Sandeman Allen house,False,None,255,108,pound,weekly,Greater London,London,Inverness Terrace,W2 3JB,40,4,bills_included/gym/laundry_facilitycctv/not_available,None,None,sqft,jjurika@lhalondon.com/bookings@lhalondon.com,+44 79 7680 3941/+44 (0)20 3911 5651,https://amberstudent.com/places/sandeman-allen-house-1706021539382
Holland House,False,None,250,105,pound,weekly,Greater London,London,Eccleston Square,SW1V 1PG,None,4,study_area/gym/laundry_facility/not_available,None,None,sqft,jjurika@lhalondon.com/bookings@lhalondon.com,+44 79 7680 3941,https://amberstudent.com/places/holland-house-1706020418702
Railton House,False,None,201,105,pound,weekly,Greater London,London,None,W2 3DT,None,4,bills_included/study_area/laundry_facility/not_available,None,None,sqft,jjurika@lhalondon.com/bookings@lhalondon.com,+44 79 7680 3941/+44 (0)20 3911 5650,https://amberstudent.com/places/railton-house-1706021059813
New Mansion House ,False,None,255,108,pound,weekly,Greater London,London,Lancaster Gate,W2 3NA,None,4,Cleaning/laundry_facility/study_area/not_available,None,None,sqft,jjurika@lhalondon.com/bookings@lhalondon.com,+44 79 7680 3941/+44 (0)20 3911 5648,https://amberstudent.com/places/new-mansion-house-1706028557830
"Park House, Earls Court",False,None,201,191,pound,weekly,Greater London,London,Earls Court Road,SW5 9BL,227,3,Bike storage/laundry_facility/not_available,None,None,sqft,park.house@optivo.org.uk,+44 020 803 60064,https://amberstudent.com/places/park-house-earls-court-2205104069807
"Student Luxe SOHO, London",True,250,2975,1195,pound,weekly,Greater London,London,Wardour Street,W1D 6QJ,24,3,Nespresso refills/rooftop-terrace/bills_included,109,50,sqft,josh@studentluxe.co.uk/hello@studentluxe.co.uk,+442034188181/+44 (0)20 3971 7307,https://amberstudent.com/places/student-luxe-soho-london-1912058371010
Belsize House,False,None,201,105,pound,weekly,Greater London,London,Belsize Park Gardens,NW3 4NA,40,4,bills_included/laundry_facility/24h CCTV/not_available,None,None,sqft,jjurika@lhalondon.com/bookings@lhalondon.com,+44 79 7680 3941/+44 (0)20 3911 5640,https://amberstudent.com/places/belsize-house-1706026249439
Student luxe Endell St,True,None,None,None,pound,weekly,Greater London,London,Endell Street,WC2H 9TP,45,3,No UK guarantor required/Flexible move-in dates/5 star location,None,None,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/student-luxe-endell-st-2104231395509
Garrick Mansions,True,None,None,None,pound,weekly,Greater London,London,Charing Cross Road,WC2H 0HR,12,3,laundry_facility/bills_included/Wifi,None,None,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/garrick-mansions-2112214599323
"Macklin Street, London",True,None,None,None,pound,weekly,Greater London,London,Macklin Street,WC2B 5ND,2,4,Elevator access/Close to LSE & Kings College/24/7 Assistance/bills_included,None,None,sqft,hello@studentluxe.co.uk,+44 (0)20 3971 7307,https://amberstudent.com/places/macklin-street-london-2104233975458
Fulham Palace Studios,False,99,359,299,pound,weekly,Greater London,London,Fulham Palace Road,W6 9PA,168-188,4,laundry_facility/bills_included/Bike Store/not_available,26,17,sqm,fulhampalacestudios@universalstudentliving.com,+44020 7381 2831,https://amberstudent.com/places/fulham-palace-studios-2005190718461
"Student Luxe Greek St, Soho",True,None,None,None,pound,weekly,Greater London,London,Greek Street,W1D 4DE,6,4,24/7 Assistance/Close to LSE/Nespresso pod refills/Roof patio,63,41,sqft,hello@studentluxe.co.uk,+44 7790 664737/+44 (0)20 3971 7307,https://amberstudent.com/places/student-luxe-greek-st-soho-2104231629528
Friendship House,False,None,237,150,pound,weekly,Greater London,London,Belvedere Place,SE1 0AD,3,4,study_area/bills_included/gym/not_available,None,None,sqft,jjurika@lhalondon.com/bookings@lhalondon.com,+44 79 7680 3941/+44 (0)20 3911 5644,https://amberstudent.com/places/friendship-house-1706020606506
AXO Camden,False,None,360,130,pound,weekly,Greater London,London,Bartholomew Road,NW5 2BJ,111-113,4,On site Maintenance/bills_included/laundry_facility/not_available,50,20,sqft,bartholomew@axostudent.co.uk/sales@axostudent.co.uk,+442072842554,https://amberstudent.com/places/axo-camden-1805217864092
